(2/22/1518 11:58:00 PM, StartShift 2543)
(2/23/1518 12:15:00 AM, Sleeping)
(2/23/1518 12:41:00 AM, Awake)
(2/23/1518 11:58:00 PM, StartShift 3571)
(2/24/1518 12:20:00 AM, Sleeping)
(2/24/1518 12:59:00 AM, Awake)
(2/25/1518 12:01:00 AM, StartShift 1697)
(2/25/1518 12:08:00 AM, Sleeping)
(2/25/1518 12:35:00 AM, Awake)
(2/26/1518 12:01:00 AM, StartShift 2161)
(2/26/1518 12:21:00 AM, Sleeping)
(2/26/1518 12:47:00 AM, Awake)
(2/26/1518 12:54:00 AM, Sleeping)
(2/26/1518 12:59:00 AM, Awake)
(2/26/1518 11:57:00 PM, StartShift 613)
(2/27/1518 12:18:00 AM, Sleeping)
(2/27/1518 12:40:00 AM, Awake)
(2/27/1518 12:48:00 AM, Sleeping)
(2/27/1518 12:53:00 AM, Awake)
(2/27/1518 11:57:00 PM, StartShift 1619)
(2/28/1518 12:11:00 AM, Sleeping)
(2/28/1518 12:42:00 AM, Awake)
(2/28/1518 11:54:00 PM, StartShift 2161)
(3/1/1518 12:01:00 AM, Sleeping)
(3/1/1518 12:25:00 AM, Awake)
(3/1/1518 12:36:00 AM, Sleeping)
(3/1/1518 12:59:00 AM, Awake)
(3/2/1518 12:04:00 AM, StartShift 883)
(3/2/1518 12:34:00 AM, Sleeping)
(3/2/1518 12:50:00 AM, Awake)
(3/3/1518 12:03:00 AM, StartShift 2543)
(3/3/1518 12:23:00 AM, Sleeping)
(3/3/1518 12:38:00 AM, Awake)
(3/4/1518 12:04:00 AM, StartShift 2423)
(3/4/1518 12:45:00 AM, Sleeping)
(3/4/1518 12:57:00 AM, Awake)
(3/4/1518 11:57:00 PM, StartShift 1571)
(3/5/1518 12:06:00 AM, Sleeping)
(3/5/1518 12:39:00 AM, Awake)
(3/5/1518 12:45:00 AM, Sleeping)
(3/5/1518 12:59:00 AM, Awake)
(3/5/1518 11:51:00 PM, StartShift 2801)
(3/6/1518 12:02:00 AM, Sleeping)
(3/6/1518 12:26:00 AM, Awake)
(3/6/1518 12:44:00 AM, Sleeping)
(3/6/1518 12:58:00 AM, Awake)
(3/7/1518 12:04:00 AM, StartShift 953)
(3/7/1518 12:19:00 AM, Sleeping)
(3/7/1518 12:22:00 AM, Awake)
(3/8/1518 12:00:00 AM, StartShift 1697)
(3/8/1518 12:17:00 AM, Sleeping)
(3/8/1518 12:55:00 AM, Awake)
(3/9/1518 12:02:00 AM, StartShift 449)
(3/9/1518 12:40:00 AM, Sleeping)
(3/9/1518 12:56:00 AM, Awake)
(3/10/1518 12:03:00 AM, StartShift 1619)
(3/10/1518 12:09:00 AM, Sleeping)
(3/10/1518 12:39:00 AM, Awake)
(3/11/1518 12:02:00 AM, StartShift 1697)
(3/11/1518 12:30:00 AM, Sleeping)
(3/11/1518 12:39:00 AM, Awake)
(3/11/1518 12:56:00 AM, Sleeping)
(3/11/1518 12:59:00 AM, Awake)
(3/12/1518 12:00:00 AM, StartShift 919)
(3/12/1518 12:27:00 AM, Sleeping)
(3/12/1518 12:32:00 AM, Awake)
(3/12/1518 12:50:00 AM, Sleeping)
(3/12/1518 12:56:00 AM, Awake)
(3/12/1518 11:49:00 PM, StartShift 1697)
(3/13/1518 12:04:00 AM, Sleeping)
(3/13/1518 12:28:00 AM, Awake)
(3/13/1518 11:58:00 PM, StartShift 919)
(3/14/1518 12:39:00 AM, Sleeping)
(3/14/1518 12:53:00 AM, Awake)
(3/14/1518 12:56:00 AM, Sleeping)
(3/14/1518 12:58:00 AM, Awake)
(3/14/1518 11:58:00 PM, StartShift 1619)
(3/15/1518 12:19:00 AM, Sleeping)
(3/15/1518 12:49:00 AM, Awake)
(3/16/1518 12:01:00 AM, StartShift 2543)
(3/16/1518 12:43:00 AM, Sleeping)
(3/16/1518 12:59:00 AM, Awake)
(3/16/1518 11:57:00 PM, StartShift 2423)
(3/17/1518 12:43:00 AM, Sleeping)
(3/17/1518 12:56:00 AM, Awake)
(3/17/1518 11:59:00 PM, StartShift 1697)
(3/18/1518 12:23:00 AM, Sleeping)
(3/18/1518 12:42:00 AM, Awake)
(3/19/1518 12:02:00 AM, StartShift 919)
(3/19/1518 12:54:00 AM, Sleeping)
(3/19/1518 12:56:00 AM, Awake)
(3/20/1518 12:00:00 AM, StartShift 2423)
(3/20/1518 12:27:00 AM, Sleeping)
(3/20/1518 12:44:00 AM, Awake)
(3/21/1518 12:04:00 AM, StartShift 3299)
(3/21/1518 12:11:00 AM, Sleeping)
(3/21/1518 12:29:00 AM, Awake)
(3/22/1518 12:03:00 AM, StartShift 953)
(3/22/1518 12:20:00 AM, Sleeping)
(3/22/1518 12:22:00 AM, Awake)
(3/22/1518 12:32:00 AM, Sleeping)
(3/22/1518 12:48:00 AM, Awake)
(3/22/1518 11:59:00 PM, StartShift 613)
(3/23/1518 12:41:00 AM, Sleeping)
(3/23/1518 12:49:00 AM, Awake)
(3/23/1518 11:56:00 PM, StartShift 2423)
(3/24/1518 12:28:00 AM, Sleeping)
(3/24/1518 12:46:00 AM, Awake)
(3/24/1518 11:50:00 PM, StartShift 1619)
